"","word","freq"
"passion","passion",104
"proved","proved",104
"rafael","rafael",104
"relevant","relevant",104
"ryan","ryan",104
"silver","silver",104
"soft","soft",104
"task","task",104
"teaching","teaching",104
"tenets","tenets",104
"underlying","underlying",104
"white","white",104
"young","young",104
"adhere","adhere",100
"andy","andy",100
"attitude","attitude",100
"available","available",100
"avoid","avoid",100
"coding","coding",100
"colleagues","colleagues",100
"construction","construction",100
"demands","demands",100
"deployment","deployment",100
"expect","expect",100
"failures","failures",100
"focuses","focuses",100
"forget","forget",100
"insurance","insurance",100
"johnson","johnson",100
"join","join",100
"keith","keith",100
"lives","lives",100
"luiz","luiz",100
"met","met",100
"multiple","multiple",100
"parties","parties",100
"procedures","procedures",100
"proper","proper",100
"ready","ready",100
"releases","releases",100
"revolution","revolution",100
"stay","stay",100
"structure","structure",100
"studio","studio",100
"transition","transition",100
"turn","turn",100
"ultimately","ultimately",100
"actively","actively",96
"ahmed","ahmed",96
"architecture","architecture",96
"aware","aware",96
"belief","belief",96
"bullet","bullet",96
"bureaucracy","bureaucracy",96
"coaching","coaching",96
"communicate","communicate",96
"deeply","deeply",96
"designed","designed",96
"diego","diego",96
"domain","domain",96
"edge","edge",96
"embedded","embedded",96
"empowered","empowered",96
"expressed","expressed",96
"feels","feels",96
"fresh","fresh",96
"increasing","increasing",96
"leadership","leadership",96
"lifecycle","lifecycle",96
"lost","lost",96
"mario","mario",96
"marketing","marketing",96
"original","original",96
"outcomes","outcomes",96
"passionate","passionate",96
"paulo","paulo",96
"produces","produces",96
"properly","properly",96
"refreshing","refreshing",96
"ricardo","ricardo",96
"saw","saw",96
"soon","soon",96
"tata","tata",96
"universidad","universidad",96
"alan","alan",92
"beautiful","beautiful",92
"businesses","businesses",92
"capital","capital",92
"cognizant","cognizant",92
"computers","computers",92
"concise","concise",92
"considered","considered",92
"consistently","consistently",92
"context","context",92
"cycles","cycles",92
"definition","definition",92
"detailed","detailed",92
"die","die",92
"exciting","exciting",92
"execution","execution",92
"factors","factors",92
"francisco","francisco",92
"gone","gone",92
"greatest","greatest",92
"gupta","gupta",92
"impact","impact",92
"increasingly","increasingly",92
"initial","initial",92
"jos„","jos„",92
"keeps","keeps",92
"looks","looks",92
"ltda","ltda",92
"maintain","maintain",92
"meetings","meetings",92
"organized","organized",92
"piece","piece",92
"prefer","prefer",92
"purpose","purpose",92
"red","red",92
"reduced","reduced",92
"return","return",92
"rodriguez","rodriguez",92
"satisfying","satisfying",92
"save","save",92
"sean","sean",92
"simon","simon",92
"sounds","sounds",92
"steven","steven",92
"study","study",92
"tasks","tasks",92
"teamwork","teamwork",92
"top","top",92
"truth","truth",92
"address","address",88
"allen","allen",88
"asked","asked",88
"breath","breath",88
"brought","brought",88
"centric","centric",88
"closer","closer",88
"cmm","cmm",88
"com","com",88
"commit","commit",88
"complicated","complicated",88
"content","content",88
"csc","csc",88
"dealing","dealing",88
"demand","demand",88
"developement","developement",88
"discover","discover",88
"elements","elements",88
"embodies","embodies",88
"embraced","embraced",88
"employed","employed",88
"existing","existing",88
"factor","factor",88
"flow","flow",88
"gap","gap",88
"gary","gary",88
"greatly","greatly",88
"healthcare","healthcare",88
"hereby","hereby",88
"khan","khan",88
"matters","matters",88
"matthew","matthew",88
"maybe","maybe",88
"meaningful","meaningful",88
"offers","offers",88
"page","page",88
"reflects","reflects",88
"responsive","responsive",88
"standards","standards",88
"stefan","stefan",88
"taught","taught",88
"toward","toward",88
"understood","understood",88
"„gil","„gil",84
"applicable","applicable",84
"ask","ask",84
"assurance","assurance",84
"authors","authors",84
"awareness","awareness",84
"black","black",84
"blue","blue",84
"brasil","brasil",84
"capable","capable",84
"chance","chance",84
"cmmi","cmmi",84
"compared","compared",84
"confidence","confidence",84
"deep","deep",84
"designs","designs",84
"dev","dev",84
"don","don",84
"effectiveness","effectiveness",84
"enable","enable",84
"ericsson","ericsson",84
"felipe","felipe",84
"follows","follows",84
"front","front",84
"gonzalez","gonzalez",84
"hands","hands",84
"helpful","helpful",84
"ideals","ideals",84
"infosys","infosys",84
"infrastructure","infrastructure",84
"integrated","integrated",84
"interact","interact",84
"interest","interest",84
"jon","jon",84
"justin","justin",84
"nearly","nearly",84
"object","object",84
"phase","phase",84
"platform","platform",84
"potential","potential",84
"proponent","proponent",84
"public","public",84
"rails","rails",84
"recent","recent",84
"require","require",84
"rest","rest",84
"solving","solving",84
"sprint","sprint",84
"statements","statements",84
"transformation","transformation",84
"type","type",84
"whenever","whenever",84
"advanced","advanced",80
"anyway","anyway",80
"associated","associated",80
"certain","certain",80
"como","como",80
"creates","creates",80
"date","date",80
"directly","directly",80
"enhance","enhance",80
"enjoyable","enjoyable",80
"express","express",80
"folks","folks",80
"frameworks","frameworks",80
"france","france",80
"green","green",80
"honest","honest",80
"ict","ict",80
"imagine","imagine",80
"improves","improves",80
"incorporated","incorporated",80
"initiatives","initiatives",80
"jack","jack",80
"jain","jain",80
"javier","javier",80
"kanban","kanban",80
"keen","keen",80
"krishna","krishna",80
"levels","levels",80
"marcos","marcos",80
"maximizing","maximizing",80
"miguel","miguel",80
"network","network",80
"outcome","outcome",80
"per","per",80
"perform","perform",80
"perhaps","perhaps",80
"period","period",80
"previous","previous",80
"primarily","primarily",80
"rad","rad",80
"rao","rao",80
"reliable","reliable",80
"resource","resource",80
"responsible","responsible",80
"rewarding","rewarding",80
"shared","shared",80
"shows","shows",80
"six","six",80
"south","south",80
"souza","souza",80
"strategic","strategic",80
"struggle","struggle",80
"superior","superior",80
"technique","technique",80
"theory","theory",80
"transform","transform",80
"valtech","valtech",80
"wang","wang",80
"williams","williams",80
"wisdom","wisdom",80
"added","added",76
"albert","albert",76
"almeida","almeida",76
"american","american",76
"apps","apps",76
"craft","craft",76
"designer","designer",76
"effect","effect",76
"embraces","embraces",76
"engaged","engaged",76
"engagement","engagement",76
"ferreira","ferreira",76
"fixed","fixed",76
"forms","forms",76
"freelancer","freelancer",76
"greg","greg",76
"guess","guess",76
"hcl","hcl",76
"inevitable","inevitable",76
"introduce","introduce",76
"iso","iso",76
"java","java",76
"joy","joy",76
"leaders","leaders",76
"miller","miller",76
"nokia","nokia",76
"office","office",76
"output","output",76
"overcome","overcome",76
"pleased","pleased",76
"provided","provided",76
"ray","ray",76
"resulting","resulting",76
"robust","robust",76
"rule","rule",76
"running","running",76
"shah","shah",76
"sound","sound",76
"strict","strict",76
"transparent","transparent",76
"unfortunately","unfortunately",76
"united","united",76
"wall","wall",76
"witnessed","witnessed",76
"achieved","achieved",72
"alejandro","alejandro",72
"applies","applies",72
"australia","australia",72
"automation","automation",72
"barry","barry",72
"board","board",72
"bottom","bottom",72
"box","box",72
"bruce","bruce",72
"cloud","cloud",72
"collaborating","collaborating",72
"conventional","conventional",72
"crucial","crucial",72
"delighted","delighted",72
"deliverable","deliverable",72
"either","either",72
"evangelist","evangelist",72
"everybody","everybody",72
"experts","experts",72
"fear","fear",72
"forma","forma",72
"garc„","garc„",72
"half","half",72
"https","https",72
"indeed","indeed",72
"jay","jay",72
"junior","junior",72
"king","king",72
"lab","lab",72
"manuel","manuel",72
"match","match",72
"moved","moved",72
"nowadays","nowadays",72
"parts","parts",72
"pereira","pereira",72
"phd","phd",72
"places","places",72
"priorities","priorities",72
"pub","pub",72
"regular","regular",72
"roy","roy",72
"shorter","shorter",72
"simpler","simpler",72
"sincerely","sincerely",72
"stakeholder","stakeholder",72
"students","students",72
"studios","studios",72
"todd","todd",72
"una","una",72
"valued","valued",72
"version","version",72
"vincent","vincent",72
"whatever","whatever",72
"willing","willing",72
"wilson","wilson",72
"winning","winning",72
"accomplish","accomplish",68
"active","active",68
"activity","activity",68
"advance","advance",68
"advantages","advantages",68
"belive","belive",68
"beneficial","beneficial",68
"bigger","bigger",68
"brazil","brazil",68
"builds","builds",68
"buy","buy",68
"castro","castro",68
"china","china",68
"combination","combination",68
"completed","completed",68
"continued","continued",68
"costs","costs",68
"csm","csm",68
"dedicated","dedicated",68
"den","den",68
"describes","describes",68
"element","element",68
"este","este",68
"fantastic","fantastic",68
"germany","germany",68
"handle","handle",68
"happened","happened",68
"harris","harris",68
"hewlett","hewlett",68
"ian","ian",68
"increases","increases",68
"kent","kent",68
"low","low",68
"lucas","lucas",68
"machines","machines",68
"marcelo","marcelo",68
"momentum","momentum",68
"nicholas","nicholas",68
"objectives","objectives",68
"oliver","oliver",68
"operations","operations",68
"opportunities","opportunities",68
"owners","owners",68
"ownership","ownership",68
"packard","packard",68
"patel","patel",68
"phil","phil",68
"pleasure","pleasure",68
"presented","presented",68
"previously","previously",68
"programs","programs",68
"push","push",68
"regardless","regardless",68
"ruby","ruby",68
"sap","sap",68
"satyam","satyam",68
"search","search",68
"seemed","seemed",68
"speak","speak",68
"stake","stake",68
"story","story",68
"stress","stress",68
"successes","successes",68
"survival","survival",68
"talk","talk",68
"tangible","tangible",68
"ten","ten",68
"tend","tend",68
"thesis","thesis",68
"trained","trained",68
"tremendous","tremendous",68
"twittercom","twittercom",68
"uml","uml",68
"victor","victor",68
"wasted","wasted",68
"week","week",68
"wells","wells",68
"whilst","whilst",68
"accountability","accountability",64
"adaptation","adaptation",64
"alberto","alberto",64
"alexandre","alexandre",64
"architects","architects",64
"awesome","awesome",64
"biggest","biggest",64
